material_id,band_gaps
mp-755216,2.5877
mp-12867,1.5633999999999997
mp-768358,2.1982000000000004
mp-550908,3.6764
mp-865218,1.9649
mp-4626,4.1878
mp-1181886,3.569
mp-755559,3.4523
mp-3466,4.221299999999999
mp-769348,2.0097
mp-755740,4.4709
mp-755798,2.636799999999999
mp-5986,1.8298
mp-560885,3.7183
mp-977455,1.5215999999999998
mp-752755,1.7146999999999997
mp-1213226,5.1789
mp-545643,4.056900000000001
mp-4387,3.6257
mp-1020631,1.6361
mp-22979,1.6117
mp-754513,2.6175
mp-768307,4.4334
mp-754654,1.7885
mp-1183115,4.1024
mp-540540,1.7692
mp-755416,3.6066
mvc-4004,1.4909
mp-1213232,4.8054
mp-655631,1.811
mp-1075911,1.409
mp-1212778,2.5157000000000003
mp-559736,1.6427
mp-20940,2.4636
mp-18946,1.8733
mp-7560,5.3996
mp-19241,1.5467
mp-755568,3.0727
mp-3721,4.0567
mp-1187025,4.1152
mp-1185488,3.1006
mp-1080060,3.8493
mp-23501,1.3197
mp-756546,1.5092999999999996
mp-768221,3.1467
mp-1183053,2.8966000000000003
mp-18331,2.6259
mp-756281,5.7744
mp-19082,1.9819
mp-5777,2.3732999999999995
mp-28873,4.3148
mp-1205364,2.1397
mp-1206444,1.5145
mp-1178815,1.9563
mp-551451,1.6782
mp-562182,3.4382999999999995
mp-770849,1.3713000000000006
mp-756424,3.1967
mp-755792,3.6376
mp-4170,2.3172
mp-756365,2.3114
mp-9657,3.4578999999999995
mp-645159,1.5691999999999997
mp-23022,5.4781
mp-1016879,1.1637999999999993
mp-754184,3.6213
mp-754345,2.3951
mp-764274,3.4051
mp-5348,4.9978
mp-765572,1.0579
mp-1261047,3.8402
mp-1280984,1.3086000000000002
mp-22081,1.9915000000000005
mp-635713,3.1255
mp-1273891,1.0056000000000005
mp-756951,2.7510000000000003
mp-1176417,3.0072
mp-29188,2.2382
mp-756630,5.7232
mp-780260,1.1227999999999998
mp-753056,4.5469
mp-18770,1.8423
mp-20507,3.6548
mp-752437,2.6396999999999995
mp-756048,4.5122
mp-3834,3.4102
mp-38035,4.712700000000001
mp-9186,3.1181
mp-1178550,2.277100000000001
mp-1018639,1.2935
mp-552676,1.0423
mp-1187421,2.7037000000000004
mp-5893,3.8720000000000008
mp-22341,1.1056000000000004
mp-984723,3.0306000000000006
mp-753806,3.7755
mp-673798,1.0273
mp-850194,2.5916
mp-1223439,3.3136
mp-7375,2.3605
mp-755583,1.5773
mp-1227982,4.2487
mp-756063,2.8255000000000003
mp-753995,4.585999999999999
mp-4891,5.8359
mp-22994,3.6474
mp-756282,1.2434000000000005
mp-555769,2.8090999999999995
mp-978489,1.438699999999999
mvc-15905,1.5742999999999991
mp-755342,2.5876
mp-4385,2.6795
mp-1079918,4.8098
mp-1184164,2.9879
mp-755612,3.644800000000001
mp-4900,2.2291
mp-1180739,3.2517000000000005
mp-561412,4.9963
mp-1101657,3.2257
mp-1178465,2.1939
mp-1205366,1.0887000000000002
mp-9475,3.3129
mp-755471,2.7412
mp-561102,2.388700000000001
mp-556422,2.8184
mp-756050,1.5960999999999994
mp-675324,4.0966000000000005
mp-779389,5.5877
mp-555731,3.0107
mp-762225,4.474
mp-776473,3.0655
mp-33746,4.2823
mp-775762,2.1105
mp-1105697,3.3647
mp-4681,2.3685
mp-1176501,3.1861
mp-18883,1.5634000000000006
mp-1180300,2.0356
mp-8110,5.8626000000000005
mp-1078871,3.3743000000000007
mp-20011,1.7078000000000002
mp-559756,4.2605
mp-30284,1.6293
mp-755685,4.2072
mp-1212404,2.3235
mp-1076534,2.0617
mp-29738,4.4344
mp-552588,2.4628
mp-4673,3.9551
mp-5663,2.4889
mp-546798,2.0439
mp-31117,4.3025
mp-1187557,2.5716
mp-626182,1.0708000000000002
mp-756458,5.803000000000001
mp-19935,1.5929000000000002
mp-754323,3.2028000000000003
mp-770618,1.9195
mp-775761,2.9272
